politica,patron,capacidad,iteraciones,hits,misses,replacements,hit_rate,miss_rate,std_hit_rate
LRU,secuencial,4,10,0.0,1000.0,996.0,0.0,100.0,0.0
LRU,aleatorio,4,10,191.2,808.8,804.8,19.12,80.88000000000001,1.1625833303466895
LRU,localidad,4,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
LRU,mixto,4,10,632.7,367.3,363.3,63.27,36.73,1.2042009799032705
FIFO,secuencial,4,10,0.0,1000.0,996.0,0.0,100.0,0.0
FIFO,aleatorio,4,10,190.4,809.6,805.6,19.04,80.96000000000001,1.085541339608953
FIFO,localidad,4,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
FIFO,mixto,4,10,568.7,431.3,427.3,56.86999999999999,43.13000000000001,0.8050465825031496
Random,secuencial,4,10,0.0,1000.0,996.0,0.0,100.0,0.0
Random,aleatorio,4,10,191.6,808.4,804.4,19.160000000000004,80.84,1.444437606821423
Random,localidad,4,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
Random,mixto,4,10,572.3,427.7,423.7,57.23,42.769999999999996,0.8050465825031493
