hits,misses,replacements,hit_rate,miss_rate,total_accesses,iteracion,semilla,politica,patron
0,1000,992,0.0,100.0,1000,1,0,LRU,secuencial
0,1000,992,0.0,100.0,1000,2,100,LRU,secuencial
0,1000,992,0.0,100.0,1000,3,200,LRU,secuencial
0,1000,992,0.0,100.0,1000,4,300,LRU,secuencial
0,1000,992,0.0,100.0,1000,5,400,LRU,secuencial
0,1000,992,0.0,100.0,1000,6,500,LRU,secuencial
0,1000,992,0.0,100.0,1000,7,600,LRU,secuencial
0,1000,992,0.0,100.0,1000,8,700,LRU,secuencial
0,1000,992,0.0,100.0,1000,9,800,LRU,secuencial
0,1000,992,0.0,100.0,1000,10,900,LRU,secuencial
381,619,611,38.1,61.9,1000,1,0,LRU,aleatorio
381,619,611,38.1,61.9,1000,2,100,LRU,aleatorio
392,608,600,39.2,60.8,1000,3,200,LRU,aleatorio
418,582,574,41.8,58.2,1000,4,300,LRU,aleatorio
403,597,589,40.3,59.7,1000,5,400,LRU,aleatorio
366,634,626,36.6,63.4,1000,6,500,LRU,aleatorio
373,627,619,37.3,62.7,1000,7,600,LRU,aleatorio
367,633,625,36.7,63.3,1000,8,700,LRU,aleatorio
377,623,615,37.7,62.3,1000,9,800,LRU,aleatorio
393,607,599,39.3,60.7,1000,10,900,LRU,aleatorio
997,3,0,99.7,0.3,1000,1,0,LRU,localidad
997,3,0,99.7,0.3,1000,2,100,LRU,localidad
997,3,0,99.7,0.3,1000,3,200,LRU,localidad
997,3,0,99.7,0.3,1000,4,300,LRU,localidad
997,3,0,99.7,0.3,1000,5,400,LRU,localidad
997,3,0,99.7,0.3,1000,6,500,LRU,localidad
997,3,0,99.7,0.3,1000,7,600,LRU,localidad
997,3,0,99.7,0.3,1000,8,700,LRU,localidad
997,3,0,99.7,0.3,1000,9,800,LRU,localidad
997,3,0,99.7,0.3,1000,10,900,LRU,localidad
819,181,173,81.9,18.1,1000,1,0,LRU,mixto
804,196,188,80.4,19.6,1000,2,100,LRU,mixto
809,191,183,80.9,19.1,1000,3,200,LRU,mixto
819,181,173,81.9,18.1,1000,4,300,LRU,mixto
816,184,176,81.6,18.4,1000,5,400,LRU,mixto
829,171,163,82.9,17.1,1000,6,500,LRU,mixto
806,194,186,80.6,19.4,1000,7,600,LRU,mixto
804,196,188,80.4,19.6,1000,8,700,LRU,mixto
800,200,192,80.0,20.0,1000,9,800,LRU,mixto
808,192,184,80.8,19.2,1000,10,900,LRU,mixto
0,1000,992,0.0,100.0,1000,1,0,FIFO,secuencial
0,1000,992,0.0,100.0,1000,2,100,FIFO,secuencial
0,1000,992,0.0,100.0,1000,3,200,FIFO,secuencial
0,1000,992,0.0,100.0,1000,4,300,FIFO,secuencial
0,1000,992,0.0,100.0,1000,5,400,FIFO,secuencial
0,1000,992,0.0,100.0,1000,6,500,FIFO,secuencial
0,1000,992,0.0,100.0,1000,7,600,FIFO,secuencial
0,1000,992,0.0,100.0,1000,8,700,FIFO,secuencial
0,1000,992,0.0,100.0,1000,9,800,FIFO,secuencial
0,1000,992,0.0,100.0,1000,10,900,FIFO,secuencial
368,632,624,36.8,63.2,1000,1,0,FIFO,aleatorio
388,612,604,38.8,61.2,1000,2,100,FIFO,aleatorio
406,594,586,40.6,59.4,1000,3,200,FIFO,aleatorio
416,584,576,41.6,58.4,1000,4,300,FIFO,aleatorio
416,584,576,41.6,58.4,1000,5,400,FIFO,aleatorio
357,643,635,35.7,64.3,1000,6,500,FIFO,aleatorio
383,617,609,38.3,61.7,1000,7,600,FIFO,aleatorio
