politica,patron,capacidad,iteraciones,hits,misses,replacements,hit_rate,miss_rate,std_hit_rate
LRU,secuencial,16,10,0.0,1000.0,984.0,0.0,100.0,0.0
LRU,aleatorio,16,10,784.0,216.0,200.0,78.39999999999999,21.599999999999998,1.350555441290732
LRU,localidad,16,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
LRU,mixto,16,10,926.3,73.7,57.7,92.63000000000001,7.37,0.7071774883294861
FIFO,secuencial,16,10,0.0,1000.0,984.0,0.0,100.0,0.0
FIFO,aleatorio,16,10,779.2,220.8,204.8,77.92,22.080000000000002,1.195658814210808
FIFO,localidad,16,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
FIFO,mixto,16,10,916.1,83.9,67.9,91.61,8.389999999999999,0.6833008122342619
Random,secuencial,16,10,0.0,1000.0,984.0,0.0,100.0,0.0
Random,aleatorio,16,10,785.4,214.6,198.6,78.53999999999999,21.46,1.1235657524150515
Random,localidad,16,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
Random,mixto,16,10,921.6,78.4,62.4,92.16,7.839999999999999,0.5257375771237944
