hits,misses,replacements,hit_rate,miss_rate,total_accesses,iteracion,semilla,politica,patron
0,1000,996,0.0,100.0,1000,1,0,LRU,secuencial
0,1000,996,0.0,100.0,1000,2,100,LRU,secuencial
0,1000,996,0.0,100.0,1000,3,200,LRU,secuencial
0,1000,996,0.0,100.0,1000,4,300,LRU,secuencial
0,1000,996,0.0,100.0,1000,5,400,LRU,secuencial
0,1000,996,0.0,100.0,1000,6,500,LRU,secuencial
0,1000,996,0.0,100.0,1000,7,600,LRU,secuencial
0,1000,996,0.0,100.0,1000,8,700,LRU,secuencial
0,1000,996,0.0,100.0,1000,9,800,LRU,secuencial
0,1000,996,0.0,100.0,1000,10,900,LRU,secuencial
190,810,806,19.0,81.0,1000,1,0,LRU,aleatorio
191,809,805,19.1,80.9,1000,2,100,LRU,aleatorio
206,794,790,20.6,79.4,1000,3,200,LRU,aleatorio
198,802,798,19.8,80.2,1000,4,300,LRU,aleatorio
211,789,785,21.1,78.9,1000,5,400,LRU,aleatorio
181,819,815,18.1,81.9,1000,6,500,LRU,aleatorio
183,817,813,18.3,81.7,1000,7,600,LRU,aleatorio
198,802,798,19.8,80.2,1000,8,700,LRU,aleatorio
183,817,813,18.3,81.7,1000,9,800,LRU,aleatorio
171,829,825,17.1,82.9,1000,10,900,LRU,aleatorio
997,3,0,99.7,0.3,1000,1,0,LRU,localidad
997,3,0,99.7,0.3,1000,2,100,LRU,localidad
997,3,0,99.7,0.3,1000,3,200,LRU,localidad
997,3,0,99.7,0.3,1000,4,300,LRU,localidad
997,3,0,99.7,0.3,1000,5,400,LRU,localidad
997,3,0,99.7,0.3,1000,6,500,LRU,localidad
997,3,0,99.7,0.3,1000,7,600,LRU,localidad
997,3,0,99.7,0.3,1000,8,700,LRU,localidad
997,3,0,99.7,0.3,1000,9,800,LRU,localidad
997,3,0,99.7,0.3,1000,10,900,LRU,localidad
629,371,367,62.9,37.1,1000,1,0,LRU,mixto
640,360,356,64.0,36.0,1000,2,100,LRU,mixto
617,383,379,61.7,38.3,1000,3,200,LRU,mixto
630,370,366,63.0,37.0,1000,4,300,LRU,mixto
650,350,346,65.0,35.0,1000,5,400,LRU,mixto
