politica,patron,capacidad,iteraciones,hits,misses,replacements,hit_rate,miss_rate,std_hit_rate
LRU,secuencial,4,10,0.0,1000.0,996.0,0.0,100.0,0.0
LRU,aleatorio,4,10,191.2,808.8,804.8,19.12,80.88000000000001,1.1625833303466895
LRU,localidad,4,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
LRU,mixto,4,10,632.7,367.3,363.3,63.27,36.73,1.2042009799032705
FIFO,secuencial,4,10,0.0,1000.0,996.0,0.0,100.0,0.0
FIFO,aleatorio,4,10,190.4,809.6,805.6,19.04,80.96000000000001,1.085541339608953
FIFO,localidad,4,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
FIFO,mixto,4,10,568.7,431.3,427.3,56.86999999999999,43.13000000000001,0.8050465825031496
Random,secuencial,4,10,0.0,1000.0,996.0,0.0,100.0,0.0
Random,aleatorio,4,10,191.6,808.4,804.4,19.160000000000004,80.84,1.444437606821423
Random,localidad,4,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
Random,mixto,4,10,572.3,427.7,423.7,57.23,42.769999999999996,0.8050465825031493
LRU,secuencial,8,10,0.0,1000.0,992.0,0.0,100.0,0.0
LRU,aleatorio,8,10,385.1,614.9,606.9,38.510000000000005,61.489999999999995,1.5655350523063978
LRU,localidad,8,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
LRU,mixto,8,10,811.4,188.6,180.6,81.14,18.86,0.855803715813388
FIFO,secuencial,8,10,0.0,1000.0,992.0,0.0,100.0,0.0
FIFO,aleatorio,8,10,387.3,612.7,604.7,38.730000000000004,61.27,1.878856034931895
FIFO,localidad,8,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
FIFO,mixto,8,10,745.2,254.8,246.8,74.52000000000001,25.48,0.9368030742904304
Random,secuencial,8,10,0.0,1000.0,992.0,0.0,100.0,0.0
Random,aleatorio,8,10,389.8,610.2,602.2,38.980000000000004,61.019999999999996,1.4925146565444511
Random,localidad,8,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
Random,mixto,8,10,739.6,260.4,252.4,73.96000000000001,26.040000000000003,0.9850888284819792
LRU,secuencial,16,10,0.0,1000.0,984.0,0.0,100.0,0.0
LRU,aleatorio,16,10,784.0,216.0,200.0,78.39999999999999,21.599999999999998,1.350555441290732
LRU,localidad,16,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
LRU,mixto,16,10,926.3,73.7,57.7,92.63000000000001,7.37,0.7071774883294861
FIFO,secuencial,16,10,0.0,1000.0,984.0,0.0,100.0,0.0
FIFO,aleatorio,16,10,779.2,220.8,204.8,77.92,22.080000000000002,1.195658814210808
FIFO,localidad,16,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
FIFO,mixto,16,10,916.1,83.9,67.9,91.61,8.389999999999999,0.6833008122342619
Random,secuencial,16,10,0.0,1000.0,984.0,0.0,100.0,0.0
Random,aleatorio,16,10,785.4,214.6,198.6,78.53999999999999,21.46,1.1235657524150515
Random,localidad,16,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
Random,mixto,16,10,921.6,78.4,62.4,92.16,7.839999999999999,0.5257375771237944
