politica,patron,capacidad,iteraciones,hits,misses,replacements,hit_rate,miss_rate,std_hit_rate
LRU,secuencial,4,10,0.0,1000.0,996.0,0.0,100.0,0.0
LRU,secuencial_circular,4,10,0.0,1000.0,996.0,0.0,100.0,0.0
LRU,aleatorio,4,10,191.2,808.8,804.8,19.12,80.88000000000001,1.1625833303466895
LRU,localidad,4,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
LRU,localidad_pesada,4,10,794.9,205.1,201.1,79.49000000000001,20.51,1.0783784122468338
LRU,mixto,4,10,632.7,367.3,363.3,63.27,36.73,1.2042009799032705
LRU,mixto_ordenado,4,10,753.6,246.4,242.4,75.36,24.64,0.6696267617113288
LRU,estacional,4,10,930.0,70.0,66.0,93.0,7.0,0.0
LRU,repeticiones,4,10,152.1,847.9,843.9,15.209999999999999,84.79,0.948103369891701
LRU,uniforme,4,10,202.7,797.3,793.3,20.270000000000003,79.73,1.6377118183612163
LRU,exponencial,4,10,885.8,114.2,110.2,88.58,11.419999999999998,1.319696934905891
FIFO,secuencial,4,10,0.0,1000.0,996.0,0.0,100.0,0.0
FIFO,secuencial_circular,4,10,0.0,1000.0,996.0,0.0,100.0,0.0
FIFO,aleatorio,4,10,190.4,809.6,805.6,19.04,80.96000000000001,1.085541339608953
FIFO,localidad,4,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
FIFO,localidad_pesada,4,10,750.3,249.7,245.7,75.03,24.97,1.363854830984587
FIFO,mixto,4,10,568.7,431.3,427.3,56.86999999999999,43.13000000000001,0.8050465825031496
FIFO,mixto_ordenado,4,10,753.0,247.0,243.0,75.3,24.7,0.5513619500836063
FIFO,estacional,4,10,930.0,70.0,66.0,93.0,7.0,0.0
FIFO,repeticiones,4,10,151.4,848.6,844.6,15.14,84.86,0.9779570542718122
FIFO,uniforme,4,10,202.0,798.0,794.0,20.199999999999996,79.79999999999998,1.3453624047073711
FIFO,exponencial,4,10,840.6,159.4,155.4,84.06,15.940000000000001,1.1368377192897867
Random,secuencial,4,10,0.0,1000.0,996.0,0.0,100.0,0.0
Random,secuencial_circular,4,10,4.5,995.5,991.5,0.45,99.55000000000001,0.2906888370749727
Random,aleatorio,4,10,191.6,808.4,804.4,19.160000000000004,80.84,1.444437606821423
Random,localidad,4,10,997.0,3.0,0.0,99.70000000000002,0.29999999999999993,1.4210854715202004e-14
Random,localidad_pesada,4,10,751.8,248.2,244.2,75.18,24.82,2.1032356025894963
Random,mixto,4,10,572.3,427.7,423.7,57.23,42.769999999999996,0.8050465825031493
Random,mixto_ordenado,4,10,751.7,248.3,244.3,75.16999999999999,24.83,0.7694803441284243
Random,estacional,4,10,879.3,120.7,116.7,87.92999999999999,12.069999999999999,1.4107090415815702
Random,repeticiones,4,10,162.9,837.1,833.1,16.29,83.71,1.3337541002748594
Random,uniforme,4,10,200.2,799.8,795.8,20.02,79.97999999999999,1.3840520221436756
Random,exponencial,4,10,839.5,160.5,156.5,83.95,16.049999999999997,1.251598977308629
